_id,Date,Address,Postal_Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
9690,2019-08-07T00:00:00,"54 LANSDOWNE LANE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
5941,2019-05-20T00:00:00,"6 ARKENDALE RD, SANDYCOVE, DUBLIN",,Dublin,"€1,840,000.00",No,No,Second-Hand Dwelling house /Apartment,
7344,2019-06-17T00:00:00,"DRYNAN LODGE, 52 OLD CARRICKBRACK ROAD, HOWTH",,Dublin,"€1,825,000.00",No,No,Second-Hand Dwelling house /Apartment,
4625,2019-04-17T00:00:00,"House A, 25 Dalkey Avenue, Dalkey",,Dublin,"€1,823,788.55",No,Yes,New Dwelling house /Apartment,
8110,2019-07-02T00:00:00,"10 LANDSDOWNE TERRACE, SHELBOURNE RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€1,820,000.00",No,No,Second-Hand Dwelling house /Apartment,
8323,2019-07-05T00:00:00,"20 ABBOTTS HILL, MALAHIDE, DUBLIN",,Dublin,"€1,818,000.00",No,No,Second-Hand Dwelling house /Apartment,
1164,2019-02-04T00:00:00,"20 Glenart Avenue, Blackrock",,Dublin,"€1,806,168.00",No,Yes,New Dwelling house /Apartment,
3801,2019-04-01T00:00:00,"APT 1, 58 SOUTH RICHMOND ST, DUBLIN 2",Dublin 2,Dublin,"€1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
5120,2019-05-01T00:00:00,"25 HOLE IN THE WALL ROAD, DONAGHMEADE, DUBLIN 13",,Dublin,"€1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
6915,2019-06-07T00:00:00,"KARIBU SANA, 9 BROOMFIELD, MALAHIDE",,Dublin,"€1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
9059,2019-07-22T00:00:00,"62 RANELAGH RD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€1,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
2195,2019-02-25T00:00:00,"APT  1  54 LEESON PARK, DONNYBROOK, DUBLIN 4",Dublin 6,Dublin,"€1,791,241.00",No,No,Second-Hand Dwelling house /Apartment,
9657,2019-08-06T00:00:00,"85 MOUNT PROSPECT AVENUE, CLONTARF, DUBLIN 3",,Dublin,"€1,790,000.00",No,No,Second-Hand Dwelling house /Apartment,
9255,2019-07-25T00:00:00,"RUSSETT HOUSE, 5 THE SYCAMORES, GROVE RD",,Dublin,"€1,775,000.00",No,No,Second-Hand Dwelling house /Apartment,
459,2019-01-18T00:00:00,"3 RICHMOND HILL, MONKSTOWN, CO DUBLIN",,Dublin,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
539,2019-01-21T00:00:00,"4 CHURCH LANE, CHURCH AVE, RATHMINES DUBLIN 6",Dublin 6,Dublin,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
1537,2019-02-12T00:00:00,"RATHNORE, BRENNANSTOWN RD, DUBLIN 18",Dublin 18,Dublin,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
2153,2019-02-25T00:00:00,"256  258 & 260 HOWTH RD, KILLESTER, DUBLIN 5",Dublin 5,Dublin,"€1,731,278.00",No,No,Second-Hand Dwelling house /Apartment,
5319,2019-05-03T00:00:00,"8 AILESBURY PARK, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,720,000.00",No,No,Second-Hand Dwelling house /Apartment,
6804,2019-06-06T00:00:00,"66 BUSHY PARK ROAD, TERENURE, DUBLIN 6",Dublin 6,Dublin,"€1,705,100.00",No,No,Second-Hand Dwelling house /Apartment,
6676,2019-06-04T00:00:00,"25 MATHER RD SOUTH, MOUNT MERRION, BLACKROCK",,Dublin,"€1,705,000.00",No,No,Second-Hand Dwelling house /Apartment,
6039,2019-05-22T00:00:00,"25 BELGRAVE SQ, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€1,700,000.00",No,No,Second-Hand Dwelling house /Apartment,
